Ana Couto,"Branding, Direção de Arte, Inovação",Fundadora da Ana Couto Branding,https://br.linkedin.com/pub/ana-couto/0/337/438,SP
Agatha Kim,"Planejamento, UX",Diretora de Planejamento @ Havas,br.linkedin.com/in/agathak/pt,SP
Agnieszka Porada,"Mídia, mobile",Gerente de Mídia @ R/GA,br.linkedin.com/in/agnieszkaporada/pt,SP
Alda Rocha,"UX, design responsivo, material design, grids, web design e desenvolvimento, front-end",Gerente de projetos Digitais @Idealista,https://br.linkedin.com/in/mjcoffeeholick,SP
Alessandra Nahra Leal,"UX, Arquitetura de Informação",Fundadora @ Saiba Mais,br.linkedin.com/in/alenahra/en,SP
Alessandra Blanco,"Conteúdo, Inovação",Head of Content @ FLAGCX,br.linkedin.com/pub/alessandra-blanco/0/146/78a/pt,SP
Amanda Gasperini,"BI, Web Analytics, Ecommerce",BI Manager @ F.Biz,br.linkedin.com/in/amandagasperini/en,SP
Amber Filgueiras,"Social Media, Conteúdo",Gerente de Projetos Digitais @ CNI,br.linkedin.com/in/amberfilgueiras/pt,SP
Amnah Asad,Planejamento,Concept Leader @ FLAGCX,br.linkedin.com/pub/amnah-asad/51/694/462/pt,SP
Ana Cortat,"Estratégia, Planejamento",Chief Strategy Officer @ Pereira O'Dell,br.linkedin.com/pub/ana-cortat/a/745/8bb/pt,SP
Ana Fontes,Empreendedorismo,Rede Mulher Empreendedora,br.linkedin.com/in/anafontesbr,SP
Ana Laura Mello,"Criação, Conteúdo, Social Media",Co-fundadora e Diretora de Criação @ Remix,br.linkedin.com/pub/ana-laura-mello/8/3b/884/pt,SP
Ana Paula Freitas,"Jornalismo, Vida Digital, Comportamento","Jornalista @ Galileu, Estadão, BrasilPost",br.linkedin.com/pub/ana-freitas/8/871/855/en,SP
Ana Paula Passarelli,"Empreendedorismo Digital, Marketing Digital e de Moda","Professora, Palestrante e Pesquisadora",br.linkedin.com/in/apassarelli/pt,SP
Andrea Hinaraka,"Pesquisa, monitoramento, netnografia",Gerente de pesquisa online @ Ipsos,br.linkedin.com/in/andreahiranaka,SP
Andiara Petterle,"Mídia, Empreendedorismo, Liderança",VP de Digital Media @ Grupo RBS,br.linkedin.com/in/andiarapetterle/pt,SP
Angela Bassichetti,"Criação, Entretenimento",Diretora de Criação @ Turner Time Warner,https://www.linkedin.com/in/angelabassichetti,SP
Andrea Bisker,"Tendências, Planejamento, Educação",Managing Director @ Top Right Group,br.linkedin.com/pub/andrea-bisker/1/970/325/pt,SP
Ariadna Neves,"Monitoramento, métricas e BI",Supervisora de Monitoramento e Métricas @ Isobar,https://br.linkedin.com/in/ariadnaneves,DF
Bárbara Bueno,"B2B, Conteúdo, Planejamento",Estrategista de Conteúdo @ Ogilvy,br.linkedin.com/pub/bárbara-mantovani-bueno/25/469/653/pt,SP
Barbara Gancia,"Atualidades, política, sociedade, entre outros",Jornalista Folha SP e apresentadora Saia Justa GNT,,SP
Barbara Jacinto,"Games, tecnologia, Web, Conteúdo, Rádio e TV, Edição",Editora @ Garotas Geeks,https://www.linkedin.com/pub/barbara-jacinto-gon%C3%A7alves-da-silva/38/349/9a,SP
Barbara Soalheiro,"Inovação, Tendências",Fundadora @ Mesa&Cadeira,br.linkedin.com/pub/barbara-soalheiro/75/899/738/pt,SP
Beatriz Blanco,"Infografia, Datavisualização",Infografista @ Editora Abril,br.linkedin.com/pub/beatriz-blanco/20/238/4b0/pt,SP
Bel Pesce,"Empreendedorismo, Inovação, Tecnologia","Fundadora @ FAZInova, Autora @ Menina do Vale",br.linkedin.com/in/belpesce/pt,SP
Beth Saad,"Cibercultura, Estratégias corporativas",Professora Comunicação Digital @ USP,br.linkedin.com/pub/elizabeth-saad-correa/9/719/b81/pt,SP
Bia Granja,"Comportamento digital, geração Y e Z",Fundadora @ YouPix,br.linkedin.com/in/biagranja/pt,SP
Bianca Brancaleone,"Arquietetura de Informação, Usabilidade",Sócia do Eu Compraria e GS Solutions / AI & UX Expert,https://www.linkedin.com/pub/bianca-brancaleone/8/855/432,SP
Bianca Carneiro,Monitoramento,Analista de Social Intelligence @DP6,https://br.linkedin.com/pub/bianca-carneiro/30/363/997,SP
